id,account_age,no_of_follower,no_of_following,no_user_fav,no_list,no_tweet,num_char,num_digit,num_url,num_hashtag,num_user_mention,num_rt,is_spam
121,738,25739,22913,4748,119,434864,40,0,1,0,0,1,False
122,2678,918,497,19415,80,91466,78,0,1,0,1,2,False
123,78,26,50,4,0,47,61,0,1,0,0,0,False
124,78,26,50,4,0,47,61,0,1,0,0,0,False
125,3477,267,747,16790,27,10417,74,4,1,0,1,0,False
126,4137,6345,4550,6352,536,28842,39,3,1,0,0,0,False
127,731,5039,5331,20659,55,11526,74,0,2,0,0,2,False
128,2882,64,10,10,0,17593,33,0,3,0,0,0,False
129,2557,1906,303,7697,21,26919,40,0,1,1,2,227,False
130,2080,1009,2783,11942,1,12496,46,4,1,1,3,878,False
131,377,1445,1777,12590,1,8284,84,0,1,0,1,191,False
132,3377,552,702,5582,59,8525,10,0,1,0,1,9,False
133,208,11,25,504,0,1728,36,0,1,0,1,1,False
134,208,11,25,504,0,1728,36,0,1,0,1,1,False
135,3275,10452,8166,122109,13,44252,84,0,1,0,1,191,False
