id,account_age,no_of_follower,no_of_following,no_user_fav,no_list,no_tweet,num_char,num_digit,num_url,num_hashtag,num_user_mention,num_rt,is_spam
143,3310,2012,57,54,49,436,57,0,2,0,1,11,False
144,117,227,522,374,2,85586,57,0,2,0,1,11,False
145,2367,877,578,21957,826,143387,57,0,2,0,1,11,False
146,15,12,28,109,1,98,55,4,1,4,1,4,False
147,2718,1807,2341,19526,27,22190,57,0,2,0,1,11,False
148,2153,810,37,39,3,73850,57,0,2,0,1,11,False
149,2345,32940,852,50,10,71985,57,0,2,0,1,11,False
150,179,481,1,4,3,62763,57,0,2,0,1,11,False
151,99,484,1,148,2,157502,57,0,2,0,1,11,False
152,3365,4835429,1145,359,48343,360632,55,0,2,0,0,11,False
153,2777,732,798,3,15,8371,73,0,1,0,0,0,False
154,2627,281,551,197,0,4209,59,0,1,0,0,0,False
155,2770,2586,3856,636,155,9680,58,0,1,0,1,0,False
156,3005,11342749,514,236,10702,393290,55,4,1,4,1,4,False
157,3541,1357,4990,10598,3,11614,73,0,1,1,1,1,False
158,3023,1023431,231,14,76,60643,53,4,1,4,0,4,False
159,1251,86284,327,72,102,11891,32,0,1,2,0,0,False
160,2235,344,2623,507634,142,341560,51,2,1,1,1,8,False
161,3002,52,1594,7897,1,2050,51,2,1,1,1,8,False
162,1227,209,1230,34641,0,22756,36,0,1,0,4,2,False
163,2960,2717,2964,6596,59,42746,51,2,1,1,1,8,False
164,2906,110,250,9541,6,2800,51,2,1,1,1,8,False
165,3508,342,673,40276,24,71784,49,0,1,0,2,18,False
166,2767,1263,2290,2602,56,114453,51,2,1,1,1,8,False
167,2581,23,90,528,0,368,64,4,1,1,1,2,False
168,2995,225918,858,207,2657,149933,51,2,1,1,1,8,False
169,2197,202,1194,1227,0,2560,51,2,1,1,1,8,False
170,1686,304670,472,174,3122,96010,51,2,1,1,1,8,False
171,2634,2248,1304,65,5,11449,62,4,1,0,0,0,False
172,3184,13804,1853,6,385,21437,49,2,1,1,0,8,False
173,1066,859,1634,1359,66,139639,60,0,1,0,0,0,False
174,3435,4891954,195,103,5244,223954,64,4,1,1,1,2,False
175,2172,34575,261,1,166,24627,62,4,1,1,0,2,False
176,2224,1602,2068,60292,203,102611,28,0,1,0,0,0,False
177,891,1981,4097,1418,9,19358,62,0,2,0,0,0,False
